"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO"
"13","2022-09-29 11:08:00","2022-09-29 11:15:32","0","100","452","1","2022-09-29 11:15:33","anonymous","TH","1","1","39","0","1","1","10","8","2","4|3|2|1|5","40","50","10","0","0","4|3|2|1|5","2","4|3|2|1|5","50","50","0","0","0","4|3|2|1|5","7","40","60","2|1","4","10","90","2|1","4","7","2","5","5","1","ไทย","ไทย","ไทย","452","Complete","30-39","1","1","Intervention","Pass","FL_63","Intervention"
"14","2022-09-29 11:12:18","2022-09-29 11:17:44","0","100","325","1","2022-09-29 11:17:44","anonymous","TH","1","1","50","0","1","1","10","10","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","2","1|2|3|4|5","0","50","50","0","0","1|2|3|4|5","7","100","0","1|2","3","100","0","1|2","4","7","2","5","5","1","ไทย","ไทย","ไทย","325","Complete","50-59","0","1","Intervention","Pass","FL_64","Intervention"
"15","2022-09-29 11:10:35","2022-09-29 11:21:23","0","100","647","1","2022-09-29 11:21:24","anonymous","TH","0.8999999761581421","1","57","1","1","1","10","10","2","1|2|3|4|5","40","40","0","0","20","1|2|3|4|5","2","1|2|3|4|5","25","25","20","10","20","1|2|3|4|5","6","20","80","1|2","3","40","60","1|2","3","4","2","5","6","1","ไทย","ไทย","ไทย","647","Complete","50-59","1","0","Control","Pass","FL_76","Control"
"16","2022-09-29 11:34:50","2022-09-29 11:40:01","0","100","310","1","2022-09-29 11:40:01","anonymous","TH","1","1","39","1","1","1","10","10","1","1|2|3|4|5","34","39","19","0","8","1|2|3|4|5","2","1|2|3|4|5","29","55","16","0","0","1|2|3|4|5","7","40","60","1|2","3","39","61","1|2","2","5","2","5","4","1","ไทย","ไทย","ไทย","310","Complete","30-39","0","1","Intervention","Pass","FL_64","Intervention"
"17","2022-09-29 11:32:29","2022-09-29 11:47:15","0","100","886","1","2022-09-29 11:47:16","anonymous","TH","0.800000011920929","1","61","0","1","1","10","10","2","4|3|2|1|5","26","39","24","10","1","4|3|2|1|5","2","4|3|2|1|5","20","22","18","16","24","4|3|2|1|5","4","47","53","2|1","3","49","51","2|1","3","4","2","5","5","1","ไทย","ไทย","ไทย","886","Complete","60+","1","1","Control","Pass","FL_63","Control"
"18","2022-09-29 11:50:38","2022-09-29 11:54:33","0","100","234","1","2022-09-29 11:54:33","anonymous","TH","1","1","43","1","1","1","10","8","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","1","1|2|3|4|5","100","0","0","0","0","1|2|3|4|5","5","75","25","1|2","3","20","80","1|2","4","3","2","6","5","1","ไทย","ไทย","ไทย","234","Complete","40-49","1","0","Intervention","Pass","FL_76","Intervention"
"19","2022-09-29 11:46:41","2022-09-29 12:02:35","0","100","953","1","2022-09-29 12:02:35","anonymous","TH","1","1","62","0","1","1","10","10","1","4|3|2|1|5","65","20","5","5","5","4|3|2|1|5","2","4|3|2|1|5","10","20","30","20","20","4|3|2|1|5","7","10","90","2|1","4","0","100","2|1","4","7","2","5","5","1","ไทย","ไทย","ไทย","953","Complete","60+","0","0","Control","Pass","FL_88","Control"
"20","2022-09-29 11:57:09","2022-09-29 12:07:26","0","100","616","1","2022-09-29 12:07:26","anonymous","TH","1","1","48","0","1","1","10","10","2","4|3|2|1|5","0","100","0","0","0","4|3|2|1|5","2","4|3|2|1|5","9","61","0","30","0","4|3|2|1|5","7","0","100","2|1","3","15","85","2|1","3","6","2","3","5","1","ไทย","ไทย","ไทย","616","Complete","40-49","0","1","Intervention","Pass","FL_64","Intervention"
"21","2022-09-29 12:29:22","2022-09-29 12:31:01","0","100","99","1","2022-09-29 12:31:02","anonymous","TH","0.8999999761581421","1","31","1","1","1","10","10","1","1|2|3|4|5","34","28","16","16","6","1|2|3|4|5","1","1|2|3|4|5","11","22","33","4","30","1|2|3|4|5","7","20","80","1|2","4","39","61","1|2","4","7","2","4","10","1","ไทย","ไทย","ไทย","99","Speeder","30-39","1","0","Control","Pass","FL_76","Control"
"22","2022-09-29 12:39:27","2022-09-29 12:41:26","0","100","118","1","2022-09-29 12:41:26","anonymous","TH","1","1","60","0","1","1","0","0","1","1|2|3|4|5","63","0","0","37","0","1|2|3|4|5","1","1|2|3|4|5","64","36","0","0","0","1|2|3|4|5","1","53","47","1|2","1","55","45","1|2","2","1","2","5","0","1","ไทย","ไทย","ไทย","118","Speeder","60+","1","1","Intervention","Pass","FL_63","Intervention"
