"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","DistributionChannel","UserLanguage","Q_RecaptchaScore","Consent","Age","Sex","Citizenship","Residency","National_Identity_1","National_Identity_2","OwnCCBeliefs","OwnCCBeliefs_DO","OtherCCBeliefs_1","OtherCCBeliefs_2","OtherCCBeliefs_3","OtherCCBeliefs_4","OtherCCBeliefs_5","OtherCCBeliefs_DO","OwnBLBeliefs","OwnBLBeliefs_DO","OtherBLBeliefs_1","OtherBLBeliefs_2","OtherBLBeliefs_3","OtherBLBeliefs_4","OtherBLBeliefs_5","OtherBLBeliefs_DO","Discuss","Expectation_Changes_1","Expectation_Changes_2","Expectation_Changes_DO","Changes","Expectation_Support_1","Expectation_Support_2","Expectation_Support_DO","Support","Efficacy","Comprehension","Education","PoliticalOrientation","Urbanicity","Nationality_singular","Country","Nationality_plural","Q_TotalDuration","Response.Type","Age_Cat","randomizer_CCfirst","randomizer_ownfirst","Condition","Comprehension.1","FL_11_DO","FL_54_DO","country"
"12","2022-09-29 10:41:16","2022-09-29 11:35:37",0,100,3261,1,"2022-09-29 11:35:37","anonymous","ID",1,1,60,1,1,1,10,10,1,"1|2|3|4|5",69,20,9,1,1,"1|2|3|4|5",1,"1|2|3|4|5",58,25,10,5,2,"1|2|3|4|5",4,70,30,"1|2",3,65,35,"1|2",3,3,2,3,5,1,"Indonesia","Indonesia","Indonesia",3261,"Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"13","2022-09-29 11:24:19","2022-09-29 11:36:57",0,100,757,1,"2022-09-29 11:36:57","anonymous","ID",1,1,57,1,1,1,10,10,2,"1|2|3|4|5",55,21,10,10,4,"1|2|3|4|5",2,"1|2|3|4|5",63,11,5,8,13,"1|2|3|4|5",1,40,60,"1|2",2,41,59,"1|2",1,99,2,5,5,2,"Indonesia","Indonesia","Indonesia",757,"Complete","50-59",1,0,"Control","Pass","FL_76","Control","Indonesia"
"14","2022-09-29 11:26:20","2022-09-29 11:48:18",0,100,1318,1,"2022-09-29 11:48:19","anonymous","ID",1,1,66,1,1,1,10,10,2,"4|3|2|1|5",50,50,0,0,0,"4|3|2|1|5",5,"4|3|2|1|5",0,5,0,0,95,"4|3|2|1|5",4,25,75,"2|1",3,25,75,"2|1",3,4,2,5,8,1,"Indonesia","Indonesia","Indonesia",1318,"Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"15","2022-09-29 11:44:31","2022-09-29 11:50:34",0,100,362,1,"2022-09-29 11:50:34","anonymous","ID",1,1,41,0,1,1,10,10,1,"4|3|2|1|5",30,10,50,0,10,"4|3|2|1|5",1,"4|3|2|1|5",60,40,0,0,0,"4|3|2|1|5",3,100,0,"2|1",3,0,100,"2|1",3,3,2,6,4,1,"Indonesia","Indonesia","Indonesia",362,"Complete","40-49",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"16","2022-09-29 11:50:21","2022-09-29 11:58:15",0,100,474,1,"2022-09-29 11:58:15","anonymous","ID",0.899999976158142,1,47,0,1,1,10,8,1,"4|3|2|1|5",0,0,71,29,0,"4|3|2|1|5",3,"4|3|2|1|5",0,15,85,0,0,"4|3|2|1|5",7,17,83,"2|1",4,10,90,"2|1",4,999,2,5,10,1,"Indonesia","Indonesia","Indonesia",474,"Complete","40-49",1,1,"Control","Pass","FL_63","Control","Indonesia"
"17","2022-09-29 11:56:25","2022-09-29 12:06:18",0,100,592,1,"2022-09-29 12:06:19","anonymous","ID",1,1,46,1,1,1,10,10,1,"4|3|2|1|5",49,10,0,41,0,"4|3|2|1|5",1,"4|3|2|1|5",52,19,3,26,0,"4|3|2|1|5",7,69,31,"2|1",4,38,62,"2|1",2,5,2,3,5,1,"Indonesia","Indonesia","Indonesia",592,"Complete","40-49",0,1,"Control","Pass","FL_64","Control","Indonesia"
"18","2022-09-29 12:00:20","2022-09-29 12:09:13",0,100,533,1,"2022-09-29 12:09:14","anonymous","ID",0.899999976158142,1,35,1,1,1,10,10,1,"4|3|2|1|5",70,15,10,5,0,"4|3|2|1|5",1,"4|3|2|1|5",70,15,10,5,0,"4|3|2|1|5",7,80,20,"2|1",2,75,25,"2|1",2,5,2,6,10,1,"Indonesia","Indonesia","Indonesia",533,"Complete","30-39",1,1,"Intervention","Pass","FL_63","Intervention","Indonesia"
"19","2022-09-29 12:16:16","2022-09-29 12:23:52",0,100,456,1,"2022-09-29 12:23:52","anonymous","ID",1,1,33,1,1,1,10,10,1,"4|3|2|1|5",25,0,0,0,75,"4|3|2|1|5",2,"4|3|2|1|5",75,1,18,6,0,"4|3|2|1|5",7,27,73,"2|1",3,50,50,"2|1",4,5,2,5,5,1,"Indonesia","Indonesia","Indonesia",456,"Complete","30-39",0,0,"Control","Pass","FL_88","Control","Indonesia"
"20","2022-09-29 12:58:00","2022-09-29 13:02:17",0,100,257,1,"2022-09-29 13:02:19","anonymous","ID",0.899999976158142,1,33,1,1,1,10,10,2,"1|2|3|4|5",95,5,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",16,17,14,31,22,"1|2|3|4|5",7,26,74,"1|2",3,24,76,"1|2",3,5,2,5,7,1,"Indonesia","Indonesia","Indonesia",257,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"21","2022-09-30 15:01:22","2022-09-30 15:08:57",0,100,454,1,"2022-09-30 15:08:57","anonymous","ID",0.899999976158142,1,63,1,1,1,10,10,3,"4|3|2|1|5",2,37,23,6,32,"4|3|2|1|5",2,"4|3|2|1|5",0,46,35,19,0,"4|3|2|1|5",7,17,83,"2|1",2,31,69,"2|1",3,7,2,4,5,1,"Indonesia","Indonesia","Indonesia",454,"Complete","60+",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"22","2022-09-30 15:03:58","2022-09-30 15:09:28",0,100,330,1,"2022-09-30 15:09:29","anonymous","ID",1,1,32,1,1,1,10,10,1,"1|2|3|4|5",69,10,0,21,0,"1|2|3|4|5",1,"1|2|3|4|5",55,45,0,0,0,"1|2|3|4|5",7,63,37,"1|2",4,54,46,"1|2",3,6,2,3,9,1,"Indonesia","Indonesia","Indonesia",330,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"23","2022-09-30 15:06:02","2022-09-30 15:10:28",0,100,266,1,"2022-09-30 15:10:28","anonymous","ID",0.899999976158142,1,52,1,1,1,10,10,2,"4|3|2|1|5",12,56,12,20,0,"4|3|2|1|5",2,"4|3|2|1|5",5,73,10,12,0,"4|3|2|1|5",7,12,88,"2|1",3,61,39,"2|1",3,5,2,3,5,1,"Indonesia","Indonesia","Indonesia",266,"Complete","50-59",1,1,"Control","Pass","FL_63","Control","Indonesia"
"24","2022-09-30 15:03:31","2022-09-30 15:10:30",0,100,419,1,"2022-09-30 15:10:30","anonymous","ID",0.899999976158142,1,58,0,1,1,10,8,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",4,50,50,"2|1",2,20,80,"2|1",3,5,2,5,5,1,"Indonesia","Indonesia","Indonesia",419,"Complete","50-59",0,1,"Control","Pass","FL_64","Control","Indonesia"
"25","2022-09-30 15:06:30","2022-09-30 15:10:44",0,100,253,1,"2022-09-30 15:10:44","anonymous","ID",1,1,39,0,1,1,10,10,2,"1|2|3|4|5",32,68,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",49,51,0,0,0,"1|2|3|4|5",7,30,70,"1|2",3,24,76,"1|2",3,7,2,5,4,1,"Indonesia","Indonesia","Indonesia",253,"Complete","30-39",0,1,"Intervention","Pass","FL_64","Intervention","Indonesia"
"26","2022-09-30 15:07:04","2022-09-30 15:11:25",0,100,261,1,"2022-09-30 15:11:26","anonymous","ID",0.899999976158142,1,53,1,1,1,10,7,2,"1|2|3|4|5",50,50,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",39,61,0,0,0,"1|2|3|4|5",5,75,25,"1|2",3,71,29,"1|2",2,6,2,5,5,1,"Indonesia","Indonesia","Indonesia",261,"Complete","50-59",1,1,"Control","Pass","FL_63","Control","Indonesia"
"27","2022-09-30 15:10:11","2022-09-30 15:13:14",0,100,182,1,"2022-09-30 15:13:14","anonymous","ID",0.899999976158142,1,69,1,1,1,10,9,2,"4|3|2|1|5",16,84,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",5,41,59,"2|1",3,0,100,"2|1",3,6,2,3,5,1,"Indonesia","Indonesia","Indonesia",182,"Complete","60+",0,1,"Intervention","Pass","FL_64","Intervention","Indonesia"
"28","2022-09-30 15:10:20","2022-09-30 15:14:13",0,100,233,1,"2022-09-30 15:14:14","anonymous","ID",0.899999976158142,1,35,0,1,1,10,10,1,"4|3|2|1|5",18,45,23,14,0,"4|3|2|1|5",1,"4|3|2|1|5",15,34,37,14,0,"4|3|2|1|5",7,33,67,"2|1",4,38,62,"2|1",3,7,2,5,10,1,"Indonesia","Indonesia","Indonesia",233,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"29","2022-09-30 15:09:32","2022-09-30 15:14:51",0,100,319,1,"2022-09-30 15:14:52","anonymous","ID",0.899999976158142,1,31,0,1,1,10,10,2,"1|2|3|4|5",28,23,16,19,14,"1|2|3|4|5",4,"1|2|3|4|5",26,26,23,20,5,"1|2|3|4|5",5,45,55,"1|2",3,69,31,"1|2",2,4,2,5,5,1,"Indonesia","Indonesia","Indonesia",319,"Complete","30-39",0,0,"Control","Pass","FL_88","Control","Indonesia"
"30","2022-09-30 15:08:52","2022-09-30 15:15:10",0,100,378,1,"2022-09-30 15:15:11","anonymous","ID",1,1,47,0,1,1,10,10,2,"4|3|2|1|5",26,22,9,9,34,"4|3|2|1|5",2,"4|3|2|1|5",34,35,9,4,18,"4|3|2|1|5",5,49,51,"2|1",3,41,59,"2|1",3,6,2,4,5,2,"Indonesia","Indonesia","Indonesia",378,"Complete","40-49",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"31","2022-09-30 15:11:53","2022-09-30 15:16:09",0,100,256,1,"2022-09-30 15:16:10","anonymous","ID",0.899999976158142,1,34,0,1,1,10,10,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",0,0,0,100,0,"4|3|2|1|5",7,61,39,"2|1",4,0,100,"2|1",2,7,2,5,10,1,"Indonesia","Indonesia","Indonesia",256,"Complete","30-39",0,1,"Control","Pass","FL_64","Control","Indonesia"
"32","2022-09-30 15:10:14","2022-09-30 15:18:27",0,100,493,1,"2022-09-30 15:18:29","anonymous","ID",0.899999976158142,1,49,1,1,1,10,10,2,"1|2|3|4|5",14,55,24,7,0,"1|2|3|4|5",2,"1|2|3|4|5",22,66,6,6,0,"1|2|3|4|5",3,8,92,"1|2",4,13,87,"1|2",3,5,2,5,6,1,"Indonesia","Indonesia","Indonesia",493,"Complete","40-49",1,1,"Control","Pass","FL_63","Control","Indonesia"
"33","2022-09-30 15:14:09","2022-09-30 15:19:54",0,100,344,1,"2022-09-30 15:19:54","anonymous","ID",0.899999976158142,1,48,0,1,1,10,10,2,"4|3|2|1|5",10,32,18,40,0,"4|3|2|1|5",2,"4|3|2|1|5",26,38,17,19,0,"4|3|2|1|5",7,25,75,"2|1",4,35,65,"2|1",4,7,2,5,10,1,"Indonesia","Indonesia","Indonesia",344,"Complete","40-49",0,0,"Control","Pass","FL_88","Control","Indonesia"
"34","2022-09-30 15:14:15","2022-09-30 15:20:58",0,100,402,1,"2022-09-30 15:20:58","anonymous","ID",1,1,53,1,1,1,10,10,1,"1|2|3|4|5",57,43,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",97,3,0,0,0,"1|2|3|4|5",7,72,28,"1|2",4,34,66,"1|2",3,6,2,5,5,1,"Indonesia","Indonesia","Indonesia",402,"Complete","50-59",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"35","2022-09-30 15:16:38","2022-09-30 15:22:17",0,100,338,1,"2022-09-30 15:22:17","anonymous","ID",1,1,42,1,1,1,10,10,1,"4|3|2|1|5",68,32,0,0,0,"4|3|2|1|5",1,"4|3|2|1|5",77,23,0,0,0,"4|3|2|1|5",7,60,40,"2|1",4,55,45,"2|1",2,7,2,5,10,1,"Indonesia","Indonesia","Indonesia",338,"Complete","40-49",0,1,"Intervention","Pass","FL_64","Intervention","Indonesia"
"36","2022-09-30 15:17:05","2022-09-30 15:22:35",0,100,330,1,"2022-09-30 15:22:36","anonymous","ID",1,1,41,1,1,1,10,10,1,"4|3|2|1|5",2,33,33,32,0,"4|3|2|1|5",1,"4|3|2|1|5",20,27,30,23,0,"4|3|2|1|5",7,35,65,"2|1",4,51,49,"2|1",4,7,2,5,10,2,"Indonesia","Indonesia","Indonesia",330,"Complete","40-49",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"37","2022-09-30 15:10:51","2022-09-30 15:22:49",0,100,717,1,"2022-09-30 15:22:50","anonymous","ID",0.899999976158142,1,54,0,1,1,10,10,2,"1|2|3|4|5",35,65,0,0,0,"1|2|3|4|5",2,"1|2|3|4|5",28,72,0,0,0,"1|2|3|4|5",6,50,50,"1|2",3,30,70,"1|2",3,7,2,5,5,1,"Indonesia","Indonesia","Indonesia",717,"Complete","50-59",1,1,"Control","Pass","FL_63","Control","Indonesia"
"38","2022-09-30 15:09:18","2022-09-30 15:23:59",0,100,880,1,"2022-09-30 15:23:59","anonymous","ID",1,1,50,1,1,1,10,10,2,"4|3|2|1|5",60,10,10,10,10,"4|3|2|1|5",1,"4|3|2|1|5",30,20,11,17,22,"4|3|2|1|5",7,26,74,"2|1",3,44,56,"2|1",2,7,2,5,7,2,"Indonesia","Indonesia","Indonesia",880,"Complete","50-59",0,0,"Control","Pass","FL_88","Control","Indonesia"
"39","2022-09-30 15:19:50","2022-09-30 15:24:40",0,100,289,1,"2022-09-30 15:24:40","anonymous","ID",0.899999976158142,1,38,1,1,1,10,10,2,"1|2|3|4|5",90,10,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",90,10,0,0,0,"1|2|3|4|5",7,10,90,"1|2",3,40,60,"1|2",3,6,2,5,8,2,"Indonesia","Indonesia","Indonesia",289,"Complete","30-39",0,1,"Control","Pass","FL_64","Control","Indonesia"
"40","2022-09-30 15:16:02","2022-09-30 15:25:07",0,100,544,1,"2022-09-30 15:25:08","anonymous","ID",0.899999976158142,1,33,0,1,1,10,10,1,"1|2|3|4|5",46,34,20,0,0,"1|2|3|4|5",1,"1|2|3|4|5",65,25,10,0,0,"1|2|3|4|5",5,38,62,"1|2",3,25,75,"1|2",2,5,2,5,3,1,"Indonesia","Indonesia","Indonesia",544,"Complete","30-39",1,1,"Control","Pass","FL_63","Control","Indonesia"
"41","2022-09-30 15:12:36","2022-09-30 15:25:16",0,100,760,1,"2022-09-30 15:25:18","anonymous","ID",1,1,47,1,1,1,10,10,2,"4|3|2|1|5",27,11,13,10,39,"4|3|2|1|5",1,"4|3|2|1|5",22,23,14,11,30,"4|3|2|1|5",7,36,64,"2|1",3,29,71,"2|1",3,6,2,4,8,2,"Indonesia","Indonesia","Indonesia",760,"Complete","40-49",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"42","2022-09-30 15:21:29","2022-09-30 15:25:24",0,100,234,1,"2022-09-30 15:25:25","anonymous","ID",1,1,46,0,1,1,10,10,1,"1|2|3|4|5",22,30,23,9,16,"1|2|3|4|5",2,"1|2|3|4|5",17,29,8,5,41,"1|2|3|4|5",5,70,30,"1|2",3,80,20,"1|2",2,5,2,5,5,1,"Indonesia","Indonesia","Indonesia",234,"Complete","40-49",1,1,"Control","Pass","FL_63","Control","Indonesia"
"43","2022-09-30 15:23:33","2022-09-30 15:25:43",0,100,130,1,"2022-09-30 15:25:44","anonymous","ID",0.899999976158142,1,25,0,1,1,2,2,4,"4|3|2|1|5",0,0,38,62,0,"4|3|2|1|5",5,"4|3|2|1|5",0,0,37,63,0,"4|3|2|1|5",3,22,78,"2|1",3,42,58,"2|1",2,5,2,3,10,2,"Indonesia","Indonesia","Indonesia",130,"Speeder","18-29",1,0,"Control","Pass","FL_76","Control","Indonesia"
"44","2022-09-30 15:17:56","2022-09-30 15:26:00",0,100,483,1,"2022-09-30 15:26:00","anonymous","ID",0.899999976158142,1,39,1,1,1,10,10,2,"1|2|3|4|5",76,24,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",71,29,0,0,0,"1|2|3|4|5",7,31,69,"1|2",4,15,85,"1|2",2,5,2,6,9,1,"Indonesia","Indonesia","Indonesia",483,"Complete","30-39",1,1,"Control","Pass","FL_63","Control","Indonesia"
"45","2022-09-30 15:17:29","2022-09-30 15:26:32",0,100,542,1,"2022-09-30 15:26:33","anonymous","ID",0.899999976158142,1,54,1,1,1,10,5,1,"1|2|3|4|5",26,38,36,0,0,"1|2|3|4|5",1,"1|2|3|4|5",29,13,6,52,0,"1|2|3|4|5",7,51,49,"1|2",3,70,30,"1|2",2,3,2,3,5,1,"Indonesia","Indonesia","Indonesia",542,"Complete","50-59",0,1,"Intervention","Pass","FL_64","Intervention","Indonesia"
"46","2022-09-30 15:12:49","2022-09-30 15:27:27",0,100,878,1,"2022-09-30 15:27:27","anonymous","ID",0.899999976158142,1,40,0,1,1,10,10,1,"1|2|3|4|5",52,26,10,5,7,"1|2|3|4|5",2,"1|2|3|4|5",37,34,9,0,20,"1|2|3|4|5",7,12,88,"1|2",4,20,80,"1|2",3,7,2,3,5,2,"Indonesia","Indonesia","Indonesia",878,"Complete","40-49",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"47","2022-09-30 15:18:33","2022-09-30 15:28:07",0,100,573,1,"2022-09-30 15:28:07","anonymous","ID",0.899999976158142,1,50,1,1,1,10,10,2,"4|3|2|1|5",20,80,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",50,50,0,0,0,"4|3|2|1|5",5,100,0,"2|1",3,50,50,"2|1",2,5,2,5,5,1,"Indonesia","Indonesia","Indonesia",573,"Complete","50-59",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"48","2022-09-30 15:23:22","2022-09-30 15:28:12",0,100,289,1,"2022-09-30 15:28:13","anonymous","ID",1,1,36,1,1,1,10,10,1,"1|2|3|4|5",20,20,20,20,20,"1|2|3|4|5",1,"1|2|3|4|5",20,20,20,20,20,"1|2|3|4|5",7,55,45,"1|2",3,50,50,"1|2",3,7,2,5,8,1,"Indonesia","Indonesia","Indonesia",289,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"49","2022-09-30 15:25:50","2022-09-30 15:28:41",0,100,171,1,"2022-09-30 15:28:41","anonymous","ID",0.899999976158142,1,42,1,1,1,10,10,1,"4|3|2|1|5",21,24,16,10,29,"4|3|2|1|5",1,"4|3|2|1|5",31,17,15,7,30,"4|3|2|1|5",7,40,60,"2|1",4,41,59,"2|1",4,7,2,5,10,1,"Indonesia","Indonesia","Indonesia",171,"Speeder","40-49",0,1,"Control","Pass","FL_64","Control","Indonesia"
"50","2022-09-30 15:24:24","2022-09-30 15:29:04",0,100,280,1,"2022-09-30 15:29:05","anonymous","ID",1,1,54,1,1,1,10,10,1,"4|3|2|1|5",100,0,0,0,0,"4|3|2|1|5",2,"4|3|2|1|5",10,15,50,25,0,"4|3|2|1|5",5,55,45,"2|1",3,55,45,"2|1",3,3,2,5,5,1,"Indonesia","Indonesia","Indonesia",280,"Complete","50-59",0,1,"Control","Pass","FL_64","Control","Indonesia"
"51","2022-09-30 15:25:21","2022-09-30 15:32:20",0,100,419,1,"2022-09-30 15:32:20","anonymous","ID",0.899999976158142,1,42,1,1,1,10,10,1,"1|2|3|4|5",85,15,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",80,20,0,0,0,"1|2|3|4|5",7,40,60,"1|2",2,30,70,"1|2",2,4,2,4,5,2,"Indonesia","Indonesia","Indonesia",419,"Complete","40-49",1,1,"Intervention","Pass","FL_63","Intervention","Indonesia"
"52","2022-09-30 15:17:29","2022-09-30 15:32:24",0,100,895,1,"2022-09-30 15:32:25","anonymous","ID",0.899999976158142,1,51,1,1,1,10,10,1,"1|2|3|4|5",74,21,5,0,0,"1|2|3|4|5",1,"1|2|3|4|5",99,0,1,0,0,"1|2|3|4|5",7,74,26,"1|2",4,58,42,"1|2",2,5,2,5,5,2,"Indonesia","Indonesia","Indonesia",895,"Complete","50-59",0,0,"Intervention","Pass","FL_88","Intervention","Indonesia"
"53","2022-09-30 15:28:12","2022-09-30 15:33:40",0,100,327,1,"2022-09-30 15:33:40","anonymous","ID",0.899999976158142,1,38,0,1,1,10,10,1,"1|2|3|4|5",62,38,0,0,0,"1|2|3|4|5",1,"1|2|3|4|5",61,39,0,0,0,"1|2|3|4|5",7,87,13,"1|2",3,69,31,"1|2",4,6,2,5,5,1,"Indonesia","Indonesia","Indonesia",327,"Complete","30-39",1,0,"Intervention","Pass","FL_76","Intervention","Indonesia"
"54","2022-09-30 15:29:34","2022-09-30 15:35:39",0,100,365,1,"2022-09-30 15:35:40","anonymous","ID",1,1,56,1,1,1,10,10,1,"1|2|3|4|5",30,10,53,7,0,"1|2|3|4|5",2,"1|2|3|4|5",44,6,3,3,44,"1|2|3|4|5",7,6,94,"1|2",3,78,22,"1|2",2,5,2,3,5,1,"Indonesia","Indonesia","Indonesia",365,"Complete","50-59",1,0,"Control","Pass","FL_76","Control","Indonesia"
